author,comment
@JaluJasvlogs,"ഇതിൽ മോദിയുടെ പേര് എവിടെയും വേടൻ പ്രയോഗിച്ചിട്ടില്ല, പക്ഷെ സംഘികൾ ഉറപ്പിച്ചു ഇത് മോഡിയെ കുറിച്ചാണെന്ന് 😂🤣"
@JaluJasvlogs,എത്ര അർത്ഥമാന വരികൾ 🔥🔥
@BestJobForYou-Kerala,🔥
@ajithmech536,Love from தமிழ்நாடு ❤❤❤
@ajithmech536,After vedan issue 🙋‍♂️🙋‍♂️🙋‍♂️🙋‍♂️
@MSTQ96,❤❤
@achuu4838,🔥🔥🔥
@shreyasl6493,Asom chetta❤
@ksmariappanbu125,Super thambi
@yoganathannatarajan4835,"Hey mini nayi, your action has made me listen to this song😂😂😂"
@abhi95934,here again to watch this masterpiece after the sangh p@rasites spew venom against him
@TheGhostOfGondor,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=87"">1:27</a> 🔥🔥🔥"
@anvardeen8947,Vera level mass song I can understand love from❤ Tamil Nadu Boy
@kandasamyumakanthan4848,We Love you bro
@newmalayalammovies123,2025 ൽ കാണുന്നവരുണ്ടോ??❤❤
@ajayjoe4610,science journey channel should be translated to malayalam to expose sangis
@ajayjoe4610,"Awesome ! cool bro, we need more like you !"
@manalantrppmanalantrpp6123,Fan of tamilnadu ❤
@suvarnasibi4657,Full credits goes to Minichechi😂😂
@Thinesh_Thamil,மெய் சிலிர்த்து மெய்மறந்து போனேன் ❤❤❤❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
@wahabsalim196,Direct bownser to Modi😂
@KingCobra-ps2xk,வாழ்த்துக்கள் டா தம்பி வேடன்
@akc699,Muthada nee
@nantharanavara5293,இவன் எங்கட ஆள்❤❤❤
@KP_Lee3157,hearing fully Tamil lyric in the rap...! ❤
@footballking2544,എടാ.....ഫാൻ ആയിരുന്നു. ഒരുകാലത്ത്.... Poooooooooo മോനേ നിൻ്റെ റാപ് നല്ലതായിട്ടല്ല... നി കുറച്ചു കഷ്ടപ്പെട്ട് വന്നത് കൊണ്ടാ... സപ്പോർട്ട് ചെയ്തത്.... പക്ഷേ.. നി പന്നി കളി കളിച്ച് മലയാളികളെ ഉബിച്ചു... നി പോയി നിൻ്റെ pooooooooo....
@footballking2544,എടാ.....ഫാൻ ആയിരുന്നു. ഒരുകാലത്ത്.... Poooooooooo മോനേ നിൻ്റെ റാപ് നല്ലതായിട്ടല്ല... നി കുറച്ചു കഷ്ടപ്പെട്ട് വന്നത് കൊണ്ടാ... സപ്പോർട്ട് ചെയ്തത്.... പക്ഷേ.. നി പന്നി കളി കളിച്ച് മലയാളികളെ ഉബിച്ചു... നി പോയി നിൻ്റെ pooooooooo....
@anusagarshaji147,Narivetta കണ്ടപ്പോൾ ഈ പാട്ട് ഓർമ വന്നു
@sureshkumar-lx5lh,பாடல் வரிகளை யாரேனும் தமிழில் பதிவிடுங்கள்
@mrmarvel2997,🔥🔥🔥
@MrPalanibond,Jaffana 🐯
@GeethaAppu-o8x,❤️‍🔥
@Darffyt,Uff🔥
@K.N.MGAMES,Support from Sri Lankan tamilan ❤
@GenesisPaul-y2f,2021 l ithu download cheythu cut cheythu status itta alkarundo
@ajmalabdulaziz7817,First time listening mind🤯
@JK-my1ey,💥💥💥💥💥
@SudeepB-k1s,🖤
@nesarasavithusan4712,வேடன் ❤🎉
@a2sgamimgboy,Anyone in 2025
@AmaldevKS-n6z,Rebel ❤
@LINO-n8p,👌👌👌👌
@Indianyoutube131,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
@LINO-n8p,കാട് കട്ടവന്റെ നാട്ടിൽ ചോറ് കട്ടവൻ മരിക്കും... 👌
@tamiltamil4646-gk9me,All Tamil people support vedan🎉🎉🎉🎉🎉
@stanyclaret,Love from Tamil Nadu.
@sinannk-e1p,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=150"">2:30</a>  Here we goooo😅✈️✨"
@SivasankariM-t2q,Tamil.tranlete.
@koyamon3605,👍🌹🌹👍
@shedeoxnb4202,Fire 🔥🔥
@RajenPs-e5f,♥️😘
@kunjol888,💪🏻💪🏻💪🏻💪🏻💪🏻👍🏻
@jithinsr1265,poye  kammekallodu chodekku mayere
@Zenitzffx,🙏🙏
@arunkumarkalidass5460,Vedan 🔥
@srinivasdi984,Veda❤❤❤❤❤❤❤❤❤❤❤❤❤
@RageshPv-b3e,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=90"">1:30</a> sennn"
@homelyriya3373,Recently addicted ❤️<br><br>🔥🔥வேடன் 💥💥
@duncanvizla8138,👍👍👍
@ArunNair-l5x,Deport him to Sreelanka or Tamil Nadu 😡😡
@AzeezkalloorVkd,Bro nee❤
@GOPALPANDIAN-t7q,Jai Bheem💪
@Worshipwork-AD,Voice of voiceless
@Ikhorasan,Awesome man ❤
@zuharaferin498,Theee🔥
@LifeandLeisure-mp8ow,Sharpness of sword never ends.
@princetk82,This is original voice of voiceless ❤
@mallumusicz,ഇത് full മോദിക്കുള്ള ooka ആണ് 😂🫶🏻👍🏻
@annappaannappa967,Vedan🔥🔥🔥🔥🔥
@raavanaraju1155,"2025. 05.27 any one here, 💯 I&#39;m from Sri Lanka, more than asking, don&#39;t can&#39;t stop this vibe, I love you, <a href=""http://www.youtube.com/results?search_query=%23veadan"">#veadan</a> ❤️"
@Satish_hosamani99,ಬೇಕಿ 🫵💯💙.... ✊JAI☸️BHEEM 💙... 🫵💯💯💯💯
@ShahulHameed-xt3hk,❤❤❤❤
@adithyanadhi826,❤
@rinshafathima5965,❤️‍🔥🔥
@Drsubbaraj,Video rimoob cheyyada😮desha virodhi
@jpk4343,എവിടെ മോഡി
@JoshuaJeganNathan,You nailed it ❤
@Goatcontents6154,❤️
@jesuthasanjoseph3578,❤ gut
@GRILTALKS,"മോദിയെ പറ്റി വേടൻ പറഞ്ഞത് 🤯🤯<br><a href=""https://www.youtube.com/shorts/4XsbyZMqRB8"">https://youtube.com/shorts/4XsbyZMqRB8?si=JhNexE8MCpEnj0SA</a>"
@SuhailDreamz,"ചെക്കൻ നേരത്തെ എല്ലാം പറഞ്ഞിട്ടുണ്ട്....അതായത് <br>ഞാൻ മെമ്പരല്ല, മന്ത്രിയല്ല,പ്രധാനമന്ത്രിയല്ല..ആണേൽ ഒരു മൈറുമില്ല..<br>ഇനി ചെക്കന്റെ ടൈം ആണ് ❤🔥 വേടനൊപ്പം 🙋‍♂️"
@jomonkudavassery,എന്റമ്മോ... എന്താ വരികൾ
@vijaybolt6498,Jei bhem❤
@HariKrishnan-z7c,വേടൻ 💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥
@asharafmattath5041,"മോഡിയെ പേര് പോലും പറഞ്ഞില്ല ,എന്നിട്ടും സംഘികൾക്ക് ഇതിൽ പറയുന്ന വാൾ എടുത്തവർ മോദിയാണ് എന്ന് തോന്നി കേസ്കൊടുത്തൂ. നേരെത്തെ പലപ്രാവശ്യം ഈ പാട്ട് കേട്ടപ്പോൾ തോന്നിയില്ല എനിക്ക് ,ഇപ്പോള് കേസും ന്യൂസും ആയപ്പോൾ ഒന്ന് കൂടി കേട്ടൂ ,സംഘികൾ ആശങ്കപെടണം😂😂😂"
@asharafmattath5041,സംഘികൾ പരാതി നൽകിയത്ശേഷം ഈ വീഡിയോ കണ്ടത് ലക്ഷങ്ങൾ ആണ്. സംഘികൾ എവിടെ പരിപാടി അവതരിപ്പിച്ചാലും ഇതാണ് അവസ്ഥ😂😂😂
@calicutarian,Vedan .. he is a phenomenon .. amazing 👍👍👍
@dilaksantharan6264,love form eelam 😍 hats off
@tpkaleel4715,വാക്കിന് വാളിനേക്കാൾ മൂർച്ചയുണ്ടെന്ന് വരിയിലൂടെ കാണിച്ചു തന്നവൻ!!! VEDAN🔥
@McmAnwar,2025 years
@sunilp903,ഈ സോങ് ഒരു വ്യക്തിയെ കുറിച്ച് പറയുന്നതായി തോന്നുന്നില്ല.. പക്ഷെ ഭരണ വർഗ്ഗത്തിൽ ഉള്ള ഓരോ ആളുകളെയും വിമർശിക്കുന്നൂ...
@sureshRanganathan-t6w,"ഈ പാട്ടിലെ വരികളിൽ നിന്നും വ്യത്യസ്തമായി മോദിജി എന്ന് പേരുപറഞ്ഞു,, ഇതേ പാട്ട് മാറ്റി പാടിയത് ഈ വേടൻതന്നെ,, അത് പാലക്കാട്‌ ഈ അടുത്ത നടന്ന പട്ടികജാതിക്ക് വേണ്ടി കമ്മ്യൂണിസ്റ്റ്‌ പിണറായി ക്കാർ ചെയ്ത് പരിപാടി യിൽ ആണ്.. മോദി എന്ന് പേര് എടുത്ത് പറഞ്ഞു പാടിയത്.."
@sajeevantk5494,April 21 തൊട്ട് കേട്ട് തുടങ്ങിയതാണ് വേടൻ്റെ ഈ ഓരോ പാട്ടുകളും. അന്ന് തൊട്ട് fan ആയതാണ്.<br>ഒരു രക്ഷയുമില്ല🔥<br>    &quot;കഷ്ട്ടപ്പാടിൻ്റെ കണ്ണീർ കൊണ്ട് സമുദ്രം തീർത്തവൻ &quot;<br>                വേടൻ🔥📈🖤
@Abdulla-jd7rk,Request to add English subtitles..pan indian reachilek powaanelo🔥🔥North sangigalk manslaavate vaakinte moorcha
@foodmarket3449,"വേടാ മാപ്പ്, ഒരുപാട് വൈകി നിന്നെ ഒന്ന് കേൾക്കാൻ! ഇന്നലെ ‘കടലമ്മ’ ഒന്ന് കേട്ടതാ, അവിടം മുതൽ എത്ര തവണ എത്ര പാട്ട് എന്നൊന്നും ഒരു കണക്കില്ല - മോനെ നി തീയാണ്, അത് കഞ്ചാവ് ഒഴിച്ച് കെടുത്തരുത് 👍"
@foodmarket3449,"“തലവനില്ല ആധി, നാടു ചുറ്റാൻ നിന്റെ നികുതി. വാളെടുത്തവന്റെ കയ്യിലാണ് നാട് പാതി, വാക്കെടുത്തവൻ ദേശദ്രോഹി, തീവ്രവാദി “ - ഇതൊക്കെ ഉള്ളത് തന്നെയല്ലേ!!"
@stephenthamu,அதிகாரத்தை வேட்டையாடிய வேடன் வரிகள்
@kailashkrishnan4971,Sirappu ❤
@sannarajuj9754,Translate to kannada hit song
@ithihasmuthigepura62,I am from Karnataka i will support vedan always
@abduljaleel4301,"ವಾಹ್, ಎಂಥ ಅದ್ಭುತ ಸಾಲುಗಳು. ಸಮಾಜದ ವಾಸ್ತವಗಳ ಅನಾವರಣ. ವೇಡನ್ ಲವ್ ಯೂ❤ Karnataka"
@trendstamizha,என்னால் இந்த வரிகளின் வலியையும் வலிமையையும் உணர முடிகின்றது....🎉🎉❤
@ssjbdjdjdjhdk,"Njan paananalla parayanalla, pulayanalla,<br><br>Nee thamburaanumalla🔥🔥🔥<br><br>Cheeru saanam"
@selviaadhun4895,humans can understand the TRUTH. pigs never.
@premkumars916,Love from tamil nadu ❤
@johnwickspd9265,வாழ்த்துக்கள் தம்பி வேடன்
@harishussain9097,രോമാഞ്ചം 🔥🔥🔥🔥🔥🔥🔥🔥
@SasiKumar-g3c,❤️❤️❤️❤️❤️
@NA-mo8jl,❤❤
@RedGreenBoys,Power താങ്കളെ സുഡാപ്പിയിലേക്ക് സ്വാഗതം ചെയ്യുന്നു അല്ലേല്ലേ സുടാപ്പി ആയി പിന്നെ ഇങ്ങോട്ട് പൊന്നൂടെ ❤💚💜💜
@nidhalahammed5552,listen this on .7 x speed ❤❤thank me later😮
@riyasm4448,It&#39;s artist 👌💯🔥🖤
@riyasm4448,🤙🏼🤙🏼🤙🏼🤙🏼🤙🏼🤙🏼🤙🏼🤙🏼🤙🏼🤙🏼🤙🏼
@Lijolazar1,"My 12-year daughter listening to Miley Cyrus, SIA, Eminem, Gaga is suddenly listening to Vedan songs nowadays.  She is picking up her Malayalam, she clearly understands the racism he is talking about, the untouchability, the caste system. I heards his songs, his words are sharp rocks.."
@മണ്ടൻസംഘി,"പ്രധാന മന്ത്രിയെ അപമാനിച്ചു 🤣🤣<br><br>നിഷ്ക്കു :  ഇതിൽ എവിടെയാ പ്രധാനമന്ത്രിയുടെ ഔദ്യോഗിക പദവി, പേര് പറഞ്ഞത്.? 🤔<br><br>മണ്ടൻ സംഘി : അതിൽ കപട ദേശവാദി എന്ന് പറഞ്ഞല്ലോ..😡<br><br>&quot;&quot;  നമ്മുടെ.. ജീ.. കപട ദേശവാദിയാ എന്ന് സംഘികൾ തന്നെ സമ്മതിച്ചു &quot;&quot; 😂😂"
@മണ്ടൻസംഘി,തമ്പ്രാട്ടിക്ക്. പൊള്ളി 🔥🔥
@simplevlogs5779,ವೇದನ್ ❤❤❤❤❤
@മണ്ടൻസംഘി,🔥🔥🔥
@Kerala_secret_boy,വാളിനെക്കാൾ മൂർച്ചയുള്ള വരികൾ 🔥🔥
@mohanayyavu628,"India not country, moothiram Naadu 😂😂😂😂😂"
@mohanayyavu628,"Tamilanin moothiram kudikki,ee India......."
@shyinphiliposepappachankun4641,VED🔥N
@niceguy3099,വിഷം ചിലപ്പോ മധുവാകും <br>വിശകലയും
@user-So8uktpq,Vedan effect 🔥
@mujeebrahman98rahman27,മോദി യുടെ പേര് &#39;ഈ പാട്ടിൽ എവിടെയും പറയുന്നില്ലല്ലോ പിന്നെന്തിനാ. സംഘികൾക്ക് &#39; ഞങളുടെ &#39;മോദിയെ കുറിച്ചാണ് എന്ന് തോന്നുന്നത് എന്ത് കൊണ്ടായിരിക്കും &#39;
@fun_corner9206,innu may 25th... ഇന്ന് എൻ്റെ engagement ആണ്..ഇപ്പോൾ.ടൈം 12:21am...ആകെ ടെൻഷൻ ആണ്...എന്നാൽ പിന്നെ vedane ഒന്നു വന്നു കണ്ടേക്കാം...അവൻ്റെ ഒരു പാട്ട് കേട്ടേക്കാം..മനസ്സ് ഒന്നു chill aakkatte 🥶
@vijay65922,"He hasn&#39;t taken modi&#39;s name, wonder what is the objection here"
@thulasiraman9159,Love &amp; support from TN❤💙
@Maskyt999,വളെടുത്തവന്റെ കയ്യിലാണ് നാട് പാതി 😌
@Spadikam123-11,❤❤❤
@anees3876,Super super 👌 👍 😍 vedan love you da muthe
@mohanayyavu628,"Singala naayi ,dmk,admk, congress, BJP,intha naayi koottam viraivil aliyum kaalam vanthu vittathu, world politics tamilanin moothiram......."
@mohanayyavu628,Singalan very dangerous dog in world.....
@lon.7310,💥💥
@Balakrishnan-lf1lz,Oru kodi like ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
@radhasundar1742,"Super 💚lyrics,കൊച്ചനുജൻ vedane എത്ര പ്രശംസിച്ചാലും മതിവരില്ല.💚"
@polynp,നീ തമ്പുരാനുമല്ല ആണേൽ ഒരു മൈരുമില്ല... അതാണ് പലരെയും കുരു പൊട്ടിപ്പിച്ചത്..
@jubujubi5972,❤❤❤
@subheeshkandar2020,Ithokkeyenthina malayalikalodu parayunnath? Ivide adimathamundo? Why he want to boost varnnaveri which doesn’t exist in kerala ?
@JJmedia-cq3wh,മലയാളത്തിലെ ഏറ്റവും മികച്ച റാപ്പ് സോങ് ❤
@suhailshah6735,സത്യം തുപ്പുമ്പോൾ..... കുരു പൊട്ടൽ സ്വാഭാവികം 🫡
@AneesKodali,🔥
@riyazriyaz8076,ഇതിലെവിടെ മോദിയെക്കുറിച്ചു പറയണേ. ഇനി മതി.നികുതി. ജാതി.നീതി എന്നൊക്കെ പാടിയത് കേട്ടത് അവർക്ക് മനസ്സിലാവാഞ്ഞിട്ടാണോ? 🤔🤔
@prajwalbabu7104,Jai bheem ❤
@vjcreation8987,Love from tamilnadu ❤️
@SajeevShamsudheen,👍🏻👍🏻👍🏻👍🏻👍🏻❤❤❤
@smile-z3s8b,ബിജെപി ചെറ്റകൾ നിന്നെ വെറുക്കും പക്ഷെ ഞങ്ങൾ നിന്നെ ഈ നായ്ക്കൾ വലിച്ചുകീറാൻ സമ്മതിക്കില്ല.. ഞങ്ങളുടെ ചോര യുടെ മുകളിലൂടെ ഇവർക്ക് നിന്റെഅടുത്ത് എത്താൻ പറ്റുള്ളൂ love you ❤️❤️❤️
@muhammadkarimpil1,സംഘികളുടെ തോന്നൽ
@TopTrendingWithPriyaIya,He&#39;s gonna make this into another level🫴 <br>Veda❤
@jag.nnn_7,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=86"">1:26</a>⚡"
@babutp3196,"ഞാനും,,,,,,"
@WizardBro-q5q,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=159"">2:39</a>  😂😂 ath polichu chayakadakar myre pollayadi mone"
@WizardBro-q5q,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=152"">2:32</a> 😂 chayakadakar Trip poyaladi chayakadakar myre"
@WizardBro-q5q,Vedan is  secularism  🕉️ ✝️ ☪️ voice india people ❤
@WizardBro-q5q,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=152"">2:32</a>  rajashekallk koduthu😂😂"
@WizardBro-q5q,Sangi myrukal karichall m
@WizardBro-q5q,Voice of common people against fasicm parties
@bhim_1891,🔥
@aldeeraaldeerastationery6819,❤❤❤❤
@sameersameer646,"പാലക്കാട് നഗരസഭയിലെ കൗൺസിലർ ആ പെണ്ണുമ്പിള്ളയുടെ പേരിൽ കേസെടുക്കണം, അവർ പ്രധാനമന്ത്രി മോദിജിയെ കപട ദേശവാദി, മറ്റുള്ളവരുടെ നികുതി പണംകൊണ്ട് നാടുചുറ്റുന്നവൻ എന്നൊക്കെ പറഞ്ഞ് അവഹേളിച്ചിരിക്കുന്നു 😂"
@jacksonthevar4321,Please add lyrics in tamil also
@jacksonthevar4321,Voice of Voiceless:<br><br>Neernilangalin adimayaaru udamayaaru<br>Nilangalaayiram veliyil thirichatharu?<br>Thiricha veliyil kulam mudichathethraperu?<br>Mudhukukooni thalagal thaanuminiyum ethranaalu? (x2)<br><br>Nee piranna mannil ninne kandal veruppu<br>Paniyedutha meni veyil konde karuppu<br>Ninte chalayil eriyunnilla aduppu<br>Pinchu kunjaval aravayaril kidappu<br><br>Rathri pagalaaki paniyeduthu naduvodinju<br>Chora neerakki neer muzhuvan vatti vaarnnu<br>Nadu nagaramaaki koodu koodaramakki<br>Mannu ponnakki ponnu ninakkanyamakki<br><br><br><br>Ponnu kettavan pidanjuveenu chora thuppi<br>Needhi kettavan iruttarayil thala thappi<br>Ponnum needhiyum<br>Vilachedutha bhoomiyum<br>Viluchukena swamyyum<br>Velichamulla bhaaviyum<br><br>Nee nediyilla engilum nee vaadiyilla<br>Agniyil kuruthu kanneerazhiyil kulichu<br>Thundu manninay kodhichu<br>Mannu ninne chadhichu<br>Pinnilaaro kalichu<br>Needhi pande marichu<br>Pande marichu (x2)<br><br>Kannil kaanatha jadhi madha verpaadu<br>Yugangalay thudangi iniyum enne vettayadu<br>Adangi nikkuvan ayyo njan petta paadu<br>Ente muthukil ninte vanchanayal etta paadu<br><br>Njan paanan alla parayan alla pulayan alla<br>Nee thamburanumalla aanel oru myrum alla<br>Iniyum kaalamilla kaathirikkan aagukilla<br>Poruthu poguvan kshamayoruthari baakiyilla<br><br>Enikk vendatho enikk vendathalla<br>Njangalukku vendathu<br><br>Nee tharan madichu<br>Njangal ere kodhichu<br>Adhinay ethraper marichu<br>Kandu kandu nee chirichu<br>Kandu nee chirichu<br><br>Alla alla alla alla lilla nallathilla<br>Illa illa Vedan illakadha parayugilla<br><br>Kaadu kattavantе naatil choru kattavan marikkum<br>Kooru kettavan barichal ooru kattavan mudikkum<br>Peruketta paamaranmar poradikkuvan vilikkum<br>Pеttu novedutha thalla pallayil kanal nirakkum<br><br>Kodigal ethrapaari kotta kothalangalil<br>Adiyaan kandathilla bhavi thante makkalil<br>Maandupoyi nee karutha porkkalangalil<br>Adimakkethidam charithrapusthagangalil<br><br>Kapada deshavaadhi naatil madha jaadhi vyaadhi<br>Thalavanilla aadhi naaduchuttidan ninte niguthi<br>Vaaleduthavante kayyilaanu naadu paadhi<br>Vaakaeduthavan dhesadhrohi theevravaadhi (x2)<br><br>Ezhuthiya variyiladhika pakuthinjan etta chadhi<br>Kanal oru thari madhi oru thari madhi thari madhi<br><br>Neernilangalin adimayaaru udamayaaru<br>Nilangalaayiram veliyil thirichatharu?<br>Thiricha veliyil kulam mudichathethraperu?<br>Mudhukukooni thalagal thaanuminiyum ethranaalu?
@shijochangamala6975,13M adichu pinnalla.
@mahishivaram8641,ಬೆಂಕಿ ಗುರು 🔥🔥👍👍
@ProjectBeeBee,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=149"">2:29</a> മുതൽ ചിലര്‍ക്ക് ഇത് തങ്ങളെ കുറിച്ച് ആണെന്ന് തോന്നുന്നത് സ്വാഭാവികം മാത്രം 😅😉"
@annadata_Chandu,Pls dubbing for kannada or telugu
@SuhailSuhail-cp6yw,❤❤
@Storybee-studios,ന്യൂസ്‌ കേട്ടിട്ട് ഒന്നുകൂടി റീച് ആയി കത്തട്ടെ 😌❤
@sabinatalks-w7s,Super singing dear Veda❤
@neshjr9688,Watching from Sri Lanka ❤
@thasneemish,ഇതിലെവിടെ മാമനെ കുറ്റം പറയുന്ന ഭാഗം. മറ്റേ ട്ടൂ... ശബ്ദം ഇട്ട ഭാഗമാണോ?😂
@thasneemish,Fire
@basheermarva8828,പാണക്കാട്ടെ ച്യാചിക്ക് നന്ദി  ശരിക്കും ച്യാചിയുടെ ഉദ്ദേശം എന്തായിരുന്നു ച്യാച്ചി
@nazeervp7307,ഇതിൽ എവിടേയും ഒരുത്തന്റെയും പേര് പരാമർശിച്ചിട്ടില്ല  ....<br>പക്ഷെ വരികൾ കേട്ടപ്പോൾ ചാണകങ്ങൾ അങ്ങ്‌ തീരുമാനിച്ചു 😂😂😂😂😂😂😂
@KunjuvavaGenius,ഇതിൽ എവിടെ മോഡി
@santoshneel.27,Best song ❤❤❤❤
@santoshneel.27,Super ❤❤❤❤❤
@santoshneel.27,Vedan ❤❤ Voice of humanity ❤❤
@sumeshchandrakr9855,"ശ്രീലങ്കൻ തമിഴ് വംശജൻ ,LTT പ്രഭാകരൻ്റെ വംശം"
@as_anand76,പ്രധാന മണ്ടനെ ആണോ പറയുന്നത് മണ്ടൻ സങ്കികൾ പ്രധാന മണ്ടൻ അപ്പോൾ അങ്ങനൊക്കെ ആണോ 😂😂😂😂
@abijah7017,Hindukalil nanne verthirivund... Athu adikakam vaikathe manasilakkikolum....
@manuvijayakumar7996,Ningal paadu bro. Ullath vech nammal support cheyyum. Malayalam arinjudathavare aaranu councilor aakkiyatho entho.
@Always_Peace.,സംഘികളുടെ😂 കൂട്ടക്കരച്ചിലിനു ശേഷം കാണുന്നവരുണ്ടോ….
@MaheshMahi-r4j,ನೈಜವಾದ ಹಾಡು ಇದು ಮನಮುಟ್ಟುವಂತಿದೆ ವಾಸ್ತವವನ್ನು ಹಾಡಿನ ಮುಖಾಂತರ ಜನರ ಮನಸ್ಸಿಗೆ ತಲುಪಿದೆ
@AkhilchakkaraChakkara,നോക്കി വച്ചോ ഇത് ഇവര് കാരണം 100m ആവും 😂
@village-wilds,Anyone Today 🔥🔥🔥
@vishnukichu1918,Ethuu kelkkunna NIA...😂🔥📈
@Quantum_Thread,Put subtitles in all Indian languages. This will bring revolution in the nation
@Aysha_Saadiya,Modiyude peru thappi njan madthu   ithil modi perilla pavam sankinni  😂apooll ithannu le modhi 😮
@abirajap6252,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=149"">02:29</a> ഈ വരികളിലൂടെ മോദിജീ യെ അപമാനിച്ചു എന്നാണ് 4 കൊല്ലങ്ങൾക്ക് ശേഷം സംഘികൾ കണ്ടെത്തിയിരിക്കുന്നത്....ഇവന്മാർക്ക് ബുദ്ധിയില്ലെന്നാര പറഞ്ഞത് 😂😂😂😂"
@sajeerparakkal8756,അഞ്ചു വർഷത്തിന് ശേഷം ഇന്നലെ ന്യൂസ്‌ കണ്ട് കാണാൻ വന്ന ഞാൻ
@thoufeeks5575,ഇതിൽ pm അഭമാനിച്ചു എന്ന് കേട്ട്. അതൊന്ന് നോക്കാൻ വന്ന ആണ്
@elitemallu,❤
@saidhalimachane205,He is vedan....<br>He is a poet 📈📈📈🕴️👽
@vysakhprasannan7801,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=149"">2:29</a> സങ്കികൾക്കുള്ളത് 😂"
@ammu1234-s2,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=71"">1:11</a> <br>പിന്നിലാരോ കളിച് നീതി പണ്ടേ മരിച്ച്...."
@Nisar_Tkd,ഈയൊരു മൊതലിനെ ഈ അടുത്ത് ആണല്ലോ ഈശ്വരാ ഞാനൊക്കെ അറിഞ്ഞത് 🙏🙏🙏
@Nisar_Tkd,ഈ ചെറുക്കാനൊക്കെയാണ് നാളെയുടെ വരദാനം 😘😘😘
@Dev-h5l5n,"വേടനോടു  ഒരു അപേക്ഷയു ണ്ടു ,രാഷ്ട്രീയക്കാരുടെ ചട്ടുക മാകാതെ ,മഹാത്മാ അയ്യങ്കാളിയെ പോലെ ഒറ്റയ്ക്ക് നിന്ന് പോരാടി വിജയിച്ചു വരുന്ന വേടനാ കാൻ  ശ്രമിക്കൂ ,അല്ലായെങ്കിൽ ഇവരെല്ലാം വേടനെ ഇല്ലാതാകും <br>ഈ ഇലക്ഷൻ വരെയേ അവർക്കു ആവശ്യമുള്ളൂ <br>അടിച്ചമർത്തപ്പെട്ടവനുവേണ്ടി സംസാരിക്കുന്ന വർ പോലും വേടന്റെ കൂടെ കാണില്ല"
@sherminmanohar9075,പറഞ്ഞത് മോദിയെ പറ്റി തന്നെയാണ് എന്ന് ഉറപ്പിക്കാൻ കാരണമെന്താണെന്ന്  സംഘിണി പറഞ്ഞിരുന്നോ.ഇതിൽ നാ...മോ ന്റെ പേര് പറഞ്ഞതായി കാണുന്നില്ലല്ലോ
@shahilsha-t4h,Modi 😮
@Abhijeeth-g8c,🔥🔥🔥
@Marco-v5w5j,Chanakam theeni Sankikal kaaranam ea paattu veendum reach aavum🤣💩
@2001naxdhu,13M bro vedan🦮🧿📿💐
@AnandPadmanabhanAPK,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
@aishwarya.45,Aanoruthan ❤❤
@anandperyadan6678,Oru thari mathi💥
@amilshanedrozario2940,❤🔥 🔥
@rajesheliyodu,ഇതിലേവിടെ എന്റെ പ്രധാന മന്ത്രിയെ അപമാനിക്കുന്ന വരികൾ 🙄
@muneernp4969,Ithinu rech pinnem koodum 😂😂
@eden.thottam,❤🔥
@Homevlogs1995,"Ottamthullal = vedan music. Nambiar used simple Malayalam language, satire, and humor to talk about:<br><br>Oppression by the upper castes<br><br>Injustice by rulers<br><br>Inequality in society"
@manthrikanman8627,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=153"">2:33</a> ചില ആളുകളുടെ കുരു പൊട്ടുന്നത് കാണാം 😂😂"
@manthrikanman8627,"<a href=""https://www.youtube.com/watch?v=OPzY3ekoIrA&amp;t=87"">1:27</a> ഇതാണ് 🔥🔥🔥🔥"
@aswinkodakkal8876,അവർ case കൊടുത്തത് നന്നായി <br>ഇത് പ്രധാനമന്ത്രിയെ കുറിച്ച് ആയിരുന്നു എന്ന് ഇപ്പോഴാ അറിഞ്ഞേ 😂<br>അവർ തന്നെ ഉറപ്പിച്ചു കപട ദേശവാദി
@ratheeshkp1887,Vedane ariyilla ennu paranja mg annanu irikkatte oru പൂകുറ്റി 🎉
